artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,lyrics
Absurd Minds,Master Builder,0.672,0.91,11,-6.003,1,0.0757,0.000128,0.365,0.0871,0.654,114.977,254600,4,"Master Builder LyricsOne emotion
(nie geboren, nur geträumt)
Grows up inside of you
(Du bist meine Projektion)
What do you think, what do you feel?
Are you virtual or are you real?
What you think and what you do is a version
That isn`t true
A smile will come to lighten up your sleeping face
So let the night be peaceful
I`m the real one, i`m the master
And i observe what you do
You and me are one in truth
I just see you as my projection
You need another understanding
Come to me, then you will see

So seek not to change the world
But choose to change your mind about the world
The blind become accustomed to their world
By their adjustments to it
And so it is with you, although you aren`t blind
The things you see are what you gave them, nothing more, nothing less
The perception selects and makes the universe you see
You give the orders, it makes the universe you seeYou might also likeEmbed"
Absurd Minds,Master Builder,0.672,0.91,11,-6.003,1,0.0757,0.000128,0.365,0.0871,0.654,114.977,254600,4,"Master Builder LyricsOne emotion
(nie geboren, nur geträumt)
Grows up inside of you
(Du bist meine Projektion)
What do you think, what do you feel?
Are you virtual or are you real?
What you think and what you do is a version
That isn`t true
A smile will come to lighten up your sleeping face
So let the night be peaceful
I`m the real one, i`m the master
And i observe what you do
You and me are one in truth
I just see you as my projection
You need another understanding
Come to me, then you will see

So seek not to change the world
But choose to change your mind about the world
The blind become accustomed to their world
By their adjustments to it
And so it is with you, although you aren`t blind
The things you see are what you gave them, nothing more, nothing less
The perception selects and makes the universe you see
You give the orders, it makes the universe you seeYou might also likeEmbed"
Absurd Minds,Essence,0.55,0.874,7,-7.741,1,0.0379,0.0289,0.0395,0.128,0.619,92.998,247467,4,"Essence Lyrics(waking) here I am
(sleeping) here I am
(dreaming) here I am
(waking, sleeping, dreaming) here I am
Always I was here. now i speak to you
Just have no fear
You don't know how much you miss
By not knowing yourself
Do you run the risk?
Here is the self, that speaks to you and will never fade away
Here I am. here I am
They are the three states
(waking, sleeping, dreaming)
In which the one`s aware
The common fact: I am
This feeling's always there
The world is like a sheet of paper
On which something's typed
The meaning and the reading
Will vary with the reader

All is the self, all is myself
All is you and yours. there's nobody else
I am one and appear as manyYou might also likeEmbed"
Absurd Minds,Captivated,0.524,0.88,2,-7.063,1,0.0456,0.00102,0.000195,0.109,0.367,138.983,245787,4,"Captivated LyricsThere's only the source, dark in itself, making everything shine
When all names and forms have been given up the real is with you
Break the bonds of memory and self-identification
And the shell will break by itself
All you need is you
It was the same ten thousand years ago
And will be the same ten thousand years hence
Man does not change over the ages
Problems remain the same

There is no need of a way out!
Don't you see that the way out
Is also a part of the dream?
All you have to do is see
The dream is a dream
Then you'll get what you call reality
Having never left the house
You are asking for the way home
Confused for you are asleepYou might also likeEmbed"
Absurd Minds,Doors,0.614,0.908,2,-7.497,1,0.039,0.0141,1.77e-05,0.0922,0.544,124.009,224467,4,"Doors LyricsThere's a time you shouldn't try to retain the toys of children
Put them all away, cause you have need of them no more
You made up this dream in which your toys are real
You don't recognize their wishes are your own
Yet everything the toys appear to do is in your mind, everything they do

It's time for the next level
Childhood should be passed forever

Did the doors open. Did you go through them or did you close them
Cause you were afraid of who you might be or afraid of what you would lose?
Just cut the ties or live the lies. It's safe to say:
The doors are open, now go through them
Don't close them, don't be afraid
Stop defining yourself as a fool
Leave it behind and make room for the next dream
Are you a child? Do you pretend to rule the world?
Do you give your toys the power to move about and talk and think?You might also likeEmbed"
Absurd Minds,Self-Imposed,0.576,0.797,6,-7.172,0,0.0473,0.00261,0.0691,0.0993,0.182,104.99,236867,4,
Absurd Minds,The Focus,0.583,0.798,6,-8.539,1,0.0324,0.0344,1.7e-05,0.121,0.437,125.01,287800,4,"The Focus LyricsHow can I reach it? Cognition
When I will obtain it? Now tell me ho can I
Realize me on this plane! How can I fulthill
Myself? I'm still waiting a long time. I wanna
Know, I wanna live to see how can I reach it
How can I realize me?
I like every night I go to bed and dream a dream
The greatest dream there is
I'm lying here but I'm dying into the
Scene. I feel the might inside of me , It feels so
Real and now I understand
Now I'm in the Focus of my dream
I'm in the focus of the scene, now I'm the master
Of my dream
A Godlike Act- I create creations
I experience it, then I distintegrate it
I'm the viewer, the one who creates creation
To experience it and then distintegrate it

I throw it away - My ignorance, my stubborness
My Limitation, my conceit. I throw it into the fire
And I burn it up, so I can feel the heat
I do wonders, I can fly, I reach the deepest point
Then I touch the sky. I do wonders
Now I can see, cause I reach it, cause I realize meYou might also likeEmbed"
Absurd Minds,Herzlos,0.507,0.948,10,-7.929,0,0.0544,0.00948,0.0428,0.14,0.898,132.974,307427,4,"Herzlos LyricsHerzlos

Unwahr ist, was nicht meinem Wahren entspricht
Unwahr nenn ich alles, was das Wahre verbirgt
Und unwirklich, begrenzt oder einengend ist
Was Täuschung und Wahn, was vergänglich ist
Unwahr ist Begrenzung durch Zeit und Raum
Unwahr – die Tränen in meinem Traum
Was unwahr ist, das BIN ICH nicht
Denn ICH BIN das Wahre, denn ICH BIN das Ich
So bist du also wieder einmal hier. Und dennoch hälst du an deinem Unglauben fest
Es ist der eine, starre, unveränderbare Glaube der Welt
Dass alle Dinge in ihr geboren werden, nur um wieder zu sterben
Und doch ist dieses Leben ein Spiel
Aber du bist zu den Glauben gekommen, dass es die einzige Wirklichkeit ist
Die einzige Wirklichkeit jedoch, die es gab und je geben wird ist das Leben
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)
Das verstehst du nicht, denn du bist mein Traum, der zu mir spricht
(Du bist herzlos.)
Was willst du von mir? Denkst du immer noch ich bin außerhalb von dir?

Das freie Denken kann nicht durch irgendwelche Grenzen gebunden werden
Die wahre Bewegung, die allen zugrunde liegt, ist die Bewegung des Denkens
Und die Wahrheit selbst ist Bewegung und kann niemals zum Stillstand
Zum aufhören des Suchens führen
Deshalb liegt der wahre und wirkliche Fortschritt des Denkens
Nur im umfassendsten Streben nach Erkenntnis
Die überhaupt nicht die Möglichkeit des Stillstands
In irgendwelchen Formen der Erkenntnis anerkennt
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)You might also likeEmbed"
Absurd Minds,Master Builder,0.672,0.91,11,-6.003,1,0.0757,0.000128,0.365,0.0871,0.654,114.977,254600,4,"Master Builder LyricsOne emotion
(nie geboren, nur geträumt)
Grows up inside of you
(Du bist meine Projektion)
What do you think, what do you feel?
Are you virtual or are you real?
What you think and what you do is a version
That isn`t true
A smile will come to lighten up your sleeping face
So let the night be peaceful
I`m the real one, i`m the master
And i observe what you do
You and me are one in truth
I just see you as my projection
You need another understanding
Come to me, then you will see

So seek not to change the world
But choose to change your mind about the world
The blind become accustomed to their world
By their adjustments to it
And so it is with you, although you aren`t blind
The things you see are what you gave them, nothing more, nothing less
The perception selects and makes the universe you see
You give the orders, it makes the universe you seeYou might also likeEmbed"
Absurd Minds,I Offer It Just Once,0.562,0.865,1,-7.708,0,0.037,0.0173,0.186,0.126,0.207,99.007,224000,4,"I Offer It Just Once LyricsThere's the way, yet you sit tight. You will not know what I'll describe:
A state of mind, you are in, called ignorance, the mother of sin
Your inner demon makes you blind. Self-satisfaction blocks your mind
How many times you droped a brick, but you don`t care a pap for it
And no one has done anything to you
And no one has done anything to you

Full of fret, full of hate - the things you say, the things you do
A lot of pride circulates. Your little demon talks to you
Full of fret, full of hate - the things you say, the things you do
A lot of pride circulates. Your little demon talks to you
And no one has done anything to you
And no one has done anything to you
How can I tell you, that I hate you? You're hating yourself
How can I tell you, that I like you? You need no one
Here is my helping hand. Don't turn down, I offer it just once. I offer it just once
How can I tell you, that I hate you? You're hating yourself
How can I tell you, that I like you? You need no one
Here is my helping hand. Don't turn down, I offer it just once. I offer it just once
You're hating yourself
You need no one
I offer it just onceYou might also likeEmbed"
Absurd Minds,My Search,0.593,0.866,1,-7.73,1,0.0346,0.126,4.27e-06,0.106,0.62,99.999,304573,4,"My Search LyricsVultures are constantly circling
Awaiting the eventual fall
My last fall
The hot sun shows no mercy and takes my strength away
It takes my strength away
I raise my hand to shield my eyes from the blazing sun
I'm looking out for my destination
I've almost forgotten
I fall face-first into the sand
I wake up a couple hours later
I decide to continue onward
One try, two tries
Finally I reached this place
I searched for long
I suffered and I survived
Sleepiness arose inside
I felt a great relief
One try
Two tries
My search was my belief

Thank you God for allowing me to reach this beautiful place
This is nirvana
I exhaled
Thank you God for allowing me to reach this beautiful place
This wasteland was a stage on which a drama is being played

No wishes
No needs anymoreYou might also likeEmbed"
Absurd Minds,The Question,0.668,0.796,7,-6.497,1,0.0799,0.0123,0.0188,0.101,0.908,89.979,215853,4,"The Question LyricsHave you not wondered what the world is really like ;
How it would look through happy eyes?
For you it's just a judgement on yourself. - It is not there at all

It's merciless and were it outside you, you should indeed be fearful
Outside's just the untruth
So it was you, who made it merciless
It is not there at all
It is not there at all - just a picture of what you think you are
Of how you see yourself, of how you see yourself
A simple question yet remains and needs an answer
Do you like what you have made -a world of murder and hate ?
A simple question yet remains and needs an answer
Do you know that you have made - a world of murder and hate ?
A simple question yet remains and needs an answer
Now tell me why do you like what you have made

You thread your timid way through constant dangers
Alone and frightened, hoping that death will wait a little longer
Before it overtakes you
Yet fear's insanity, yet fear's insanity
If you change your perspective you would agree
Cause it was you, who made it frightful. - it is not there at allYou might also likeEmbed"
Absurd Minds,Body,0.61,0.91,1,-6.964,0,0.0492,0.0228,0.0,0.297,0.818,114.008,196480,4,"Body LyricsIt is the centre figure in the dreaming of the world
There is no dream about it
It doesn't exist without the dream
In which it acts as if it were a person to be seen

And they believe born in to the world outside lives a little while and dies
Losing the form because it's worn
Flesh decomposes
It won't believe there was a time when it knew nothing of itself, nothing of itself
Born into the world outside lives al little while and dies
The dreaming of the world takes many forms
Because the body seeks in many ways to prove it is real
Searching for the truth takes many forms because the body feels in many ways this world is not real
Find yourself the dream is but on purpose taught in many ways
But the son of god remembered not to laugh, he thinks he is the dream and not the dreamer

Pain demonstrates it must be real
It is a loud and …. voice, compelling your attention
Its purpose is the same as pleasure
To devote all means

To make the body real
It's the law that you can feel
Born in to the world outside lives a little while and dies
Losing the form because it's worn

Flesh decomposes
It won't believe there was a time when it knew nothing of itself, nothing of itself
Born into the world outside lives al little while and dies
The dreaming of the world takes many forms

Because the body seeks in many ways to prove it is real
Searching for the truth takes many forms because the body feels in many ways this world is not real
Find yourself the dream is but on purpose taught in many ways
But the son of god remembered not to laugh, he thinks he is the dream and not the dreamerYou might also likeEmbed"
Absurd Minds,Crucifixion,0.619,0.82,1,-7.553,1,0.0443,0.025,0.087,0.302,0.391,115.977,195800,4,"Crucifixion LyricsThe sight of crucifixion still lies heavy on your eyes

There is a cross
They've got the nails
Since centuries they crucify him
They placed a crown of thorns upon his head
To suffer to the end of time
They've nailed him to a cross
To suffer to the end of time
You've got the power to walk, but you just crawl
You forgot the things he did, you hang him on the wall
To God all things are possible
To you it's given to be like himself
You don't perceive it, my little sheep
Creeping, crawling
History repeats itself

He points it out to you what it means to live
He points it out to you what it means to die
You've got the power to walk, but you just crawl
You forgot the things he did, you hang him on the wall

History repeats itself

The sight of crucifixion still lies heavy on your eyes
You cannot crucify him, God cannot die
As long as you wear a crown of thorns you live the lie
You cannot crucify yourself, God cannot dieYou might also likeEmbed"
Absurd Minds,The Question,0.668,0.796,7,-6.497,1,0.0799,0.0123,0.0188,0.101,0.908,89.979,215853,4,"The Question LyricsHave you not wondered what the world is really like ;
How it would look through happy eyes?
For you it's just a judgement on yourself. - It is not there at all

It's merciless and were it outside you, you should indeed be fearful
Outside's just the untruth
So it was you, who made it merciless
It is not there at all
It is not there at all - just a picture of what you think you are
Of how you see yourself, of how you see yourself
A simple question yet remains and needs an answer
Do you like what you have made -a world of murder and hate ?
A simple question yet remains and needs an answer
Do you know that you have made - a world of murder and hate ?
A simple question yet remains and needs an answer
Now tell me why do you like what you have made

You thread your timid way through constant dangers
Alone and frightened, hoping that death will wait a little longer
Before it overtakes you
Yet fear's insanity, yet fear's insanity
If you change your perspective you would agree
Cause it was you, who made it frightful. - it is not there at allYou might also likeEmbed"
Absurd Minds,Self-Imposed,0.576,0.797,6,-7.172,0,0.0473,0.00261,0.0691,0.0993,0.182,104.99,236867,4,"Self-Imposed LyricsWhat you see is nothing but yourself
Through the film of destiny
A light depicts pictures on the screen
It's self-selected, self-imposed
All happens in consciousness
When you look at anything
It's the ultimate you see
- the ultimate -
You think you see a stone, a cloud or a tree

Hungry, thirsty, longing
Searching and seizing
Holding, losing and suffering
All your going and coming
Seeking pleasure, loving and hating â€""
All this shows: you don`t know the source
You were not born, they told you a lie
It`s just an idea that was born and shall die
The cognition hurts me, they told me a lie
It's just an idea that was born and shall die

On realization, you feel complete
Free from the pleasure-pain complex
Pain and pleasure go together
Freedom from one is freedom from bothYou might also likeEmbed"
Absurd Minds,Crucifixion,0.619,0.82,1,-7.553,1,0.0443,0.025,0.087,0.302,0.391,115.977,195800,4,"Crucifixion LyricsThe sight of crucifixion still lies heavy on your eyes

There is a cross
They've got the nails
Since centuries they crucify him
They placed a crown of thorns upon his head
To suffer to the end of time
They've nailed him to a cross
To suffer to the end of time
You've got the power to walk, but you just crawl
You forgot the things he did, you hang him on the wall
To God all things are possible
To you it's given to be like himself
You don't perceive it, my little sheep
Creeping, crawling
History repeats itself

He points it out to you what it means to live
He points it out to you what it means to die
You've got the power to walk, but you just crawl
You forgot the things he did, you hang him on the wall

History repeats itself

The sight of crucifixion still lies heavy on your eyes
You cannot crucify him, God cannot die
As long as you wear a crown of thorns you live the lie
You cannot crucify yourself, God cannot dieYou might also likeEmbed"
Absurd Minds,Captivated,0.524,0.88,2,-7.063,1,0.0456,0.00102,0.000195,0.109,0.367,138.983,245787,4,"Captivated LyricsThere's only the source, dark in itself, making everything shine
When all names and forms have been given up the real is with you
Break the bonds of memory and self-identification
And the shell will break by itself
All you need is you
It was the same ten thousand years ago
And will be the same ten thousand years hence
Man does not change over the ages
Problems remain the same

There is no need of a way out!
Don't you see that the way out
Is also a part of the dream?
All you have to do is see
The dream is a dream
Then you'll get what you call reality
Having never left the house
You are asking for the way home
Confused for you are asleepYou might also likeEmbed"
Absurd Minds,I Offer It Just Once,0.562,0.865,1,-7.708,0,0.037,0.0173,0.186,0.126,0.207,99.007,224000,4,"I Offer It Just Once LyricsThere's the way, yet you sit tight. You will not know what I'll describe:
A state of mind, you are in, called ignorance, the mother of sin
Your inner demon makes you blind. Self-satisfaction blocks your mind
How many times you droped a brick, but you don`t care a pap for it
And no one has done anything to you
And no one has done anything to you

Full of fret, full of hate - the things you say, the things you do
A lot of pride circulates. Your little demon talks to you
Full of fret, full of hate - the things you say, the things you do
A lot of pride circulates. Your little demon talks to you
And no one has done anything to you
And no one has done anything to you
How can I tell you, that I hate you? You're hating yourself
How can I tell you, that I like you? You need no one
Here is my helping hand. Don't turn down, I offer it just once. I offer it just once
How can I tell you, that I hate you? You're hating yourself
How can I tell you, that I like you? You need no one
Here is my helping hand. Don't turn down, I offer it just once. I offer it just once
You're hating yourself
You need no one
I offer it just onceYou might also likeEmbed"
Absurd Minds,Herzlos,0.507,0.948,10,-7.929,0,0.0544,0.00948,0.0428,0.14,0.898,132.974,307427,4,"Herzlos LyricsHerzlos

Unwahr ist, was nicht meinem Wahren entspricht
Unwahr nenn ich alles, was das Wahre verbirgt
Und unwirklich, begrenzt oder einengend ist
Was Täuschung und Wahn, was vergänglich ist
Unwahr ist Begrenzung durch Zeit und Raum
Unwahr – die Tränen in meinem Traum
Was unwahr ist, das BIN ICH nicht
Denn ICH BIN das Wahre, denn ICH BIN das Ich
So bist du also wieder einmal hier. Und dennoch hälst du an deinem Unglauben fest
Es ist der eine, starre, unveränderbare Glaube der Welt
Dass alle Dinge in ihr geboren werden, nur um wieder zu sterben
Und doch ist dieses Leben ein Spiel
Aber du bist zu den Glauben gekommen, dass es die einzige Wirklichkeit ist
Die einzige Wirklichkeit jedoch, die es gab und je geben wird ist das Leben
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)
Das verstehst du nicht, denn du bist mein Traum, der zu mir spricht
(Du bist herzlos.)
Was willst du von mir? Denkst du immer noch ich bin außerhalb von dir?

Das freie Denken kann nicht durch irgendwelche Grenzen gebunden werden
Die wahre Bewegung, die allen zugrunde liegt, ist die Bewegung des Denkens
Und die Wahrheit selbst ist Bewegung und kann niemals zum Stillstand
Zum aufhören des Suchens führen
Deshalb liegt der wahre und wirkliche Fortschritt des Denkens
Nur im umfassendsten Streben nach Erkenntnis
Die überhaupt nicht die Möglichkeit des Stillstands
In irgendwelchen Formen der Erkenntnis anerkennt
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)You might also likeEmbed"
Absurd Minds,Herzlos,0.507,0.948,10,-7.929,0,0.0544,0.00948,0.0428,0.14,0.898,132.974,307427,4,"Herzlos LyricsHerzlos

Unwahr ist, was nicht meinem Wahren entspricht
Unwahr nenn ich alles, was das Wahre verbirgt
Und unwirklich, begrenzt oder einengend ist
Was Täuschung und Wahn, was vergänglich ist
Unwahr ist Begrenzung durch Zeit und Raum
Unwahr – die Tränen in meinem Traum
Was unwahr ist, das BIN ICH nicht
Denn ICH BIN das Wahre, denn ICH BIN das Ich
So bist du also wieder einmal hier. Und dennoch hälst du an deinem Unglauben fest
Es ist der eine, starre, unveränderbare Glaube der Welt
Dass alle Dinge in ihr geboren werden, nur um wieder zu sterben
Und doch ist dieses Leben ein Spiel
Aber du bist zu den Glauben gekommen, dass es die einzige Wirklichkeit ist
Die einzige Wirklichkeit jedoch, die es gab und je geben wird ist das Leben
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)
Das verstehst du nicht, denn du bist mein Traum, der zu mir spricht
(Du bist herzlos.)
Was willst du von mir? Denkst du immer noch ich bin außerhalb von dir?

Das freie Denken kann nicht durch irgendwelche Grenzen gebunden werden
Die wahre Bewegung, die allen zugrunde liegt, ist die Bewegung des Denkens
Und die Wahrheit selbst ist Bewegung und kann niemals zum Stillstand
Zum aufhören des Suchens führen
Deshalb liegt der wahre und wirkliche Fortschritt des Denkens
Nur im umfassendsten Streben nach Erkenntnis
Die überhaupt nicht die Möglichkeit des Stillstands
In irgendwelchen Formen der Erkenntnis anerkennt
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)You might also likeEmbed"
Absurd Minds,Herzlos,0.507,0.948,10,-7.929,0,0.0544,0.00948,0.0428,0.14,0.898,132.974,307427,4,"Herzlos LyricsHerzlos

Unwahr ist, was nicht meinem Wahren entspricht
Unwahr nenn ich alles, was das Wahre verbirgt
Und unwirklich, begrenzt oder einengend ist
Was Täuschung und Wahn, was vergänglich ist
Unwahr ist Begrenzung durch Zeit und Raum
Unwahr – die Tränen in meinem Traum
Was unwahr ist, das BIN ICH nicht
Denn ICH BIN das Wahre, denn ICH BIN das Ich
So bist du also wieder einmal hier. Und dennoch hälst du an deinem Unglauben fest
Es ist der eine, starre, unveränderbare Glaube der Welt
Dass alle Dinge in ihr geboren werden, nur um wieder zu sterben
Und doch ist dieses Leben ein Spiel
Aber du bist zu den Glauben gekommen, dass es die einzige Wirklichkeit ist
Die einzige Wirklichkeit jedoch, die es gab und je geben wird ist das Leben
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)
Das verstehst du nicht, denn du bist mein Traum, der zu mir spricht
(Du bist herzlos.)
Was willst du von mir? Denkst du immer noch ich bin außerhalb von dir?

Das freie Denken kann nicht durch irgendwelche Grenzen gebunden werden
Die wahre Bewegung, die allen zugrunde liegt, ist die Bewegung des Denkens
Und die Wahrheit selbst ist Bewegung und kann niemals zum Stillstand
Zum aufhören des Suchens führen
Deshalb liegt der wahre und wirkliche Fortschritt des Denkens
Nur im umfassendsten Streben nach Erkenntnis
Die überhaupt nicht die Möglichkeit des Stillstands
In irgendwelchen Formen der Erkenntnis anerkennt
Meißel nun in alle Grabsteine: Hier ruht niemand

(... herzlos.)You might also likeEmbed"
